Buffer Size,Elapsed Time (s),Total CPU Time (s),User CPU Time (s),System CPU Time (s)
1,78.63155000000000000000,78.58605000000000000000,9.33165000000000000000,69.25440000000000000000
2,40.02105000000000000000,39.97995000000000000000,4.72760000000000000000,35.25235000000000000000
4,19.74730000000000000000,19.71585000000000000000,2.30255000000000000000,17.41330000000000000000
8,10.00415000000000000000,9.97750000000000000000,1.19610000000000000000,8.78140000000000000000
16,5.10345000000000000000,5.07920000000000000000,.58675000000000000000,4.49245000000000000000
32,2.59495000000000000000,2.57125000000000000000,.28820000000000000000,2.28305000000000000000
64,1.37560000000000000000,1.34995000000000000000,.15110000000000000000,1.19885000000000000000
128,.75740000000000000000,.73425000000000000000,.07670000000000000000,.65755000000000000000
256,.45220000000000000000,.42180000000000000000,.03700000000000000000,.38480000000000000000
512,.33755000000000000000,.30790000000000000000,.02785000000000000000,.28005000000000000000
1024,.34490000000000000000,.27770000000000000000,.01780000000000000000,.25990000000000000000
4096,.27820000000000000000,.18415000000000000000,.00475000000000000000,.17940000000000000000
16284,.26735000000000000000,.15715000000000000000,.00125000000000000000,.15590000000000000000
65536,.19460000000000000000,.13075000000000000000,.00095000000000000000,.12980000000000000000
